Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosotalea_sinensis_Nd2-contig1_235	PF07541.13,9.6e-24,80.5
Nitrosotalea_sinensis_Nd2-contig1_27	PF01280.21,1.4e-40,135.4
Nitrosotalea_sinensis_Nd2-contig1_37	PF00687.22,1.5e-40,135.9
Nitrosotalea_sinensis_Nd2-contig1_38	PF00466.21,5.1e-20,68.3
Nitrosotalea_sinensis_Nd2-contig2_39	PF01000.27,1.7e-23,79.9
Nitrosotalea_sinensis_Nd2-contig2_42	PF00380.20,2.7e-30,102.2
Nitrosotalea_sinensis_Nd2-contig3_209	PF01090.20,4.9e-47,155.9
Nitrosotalea_sinensis_Nd2-contig3_270	PF01025.20,2.2e-38,128.4
Nitrosotalea_sinensis_Nd2-contig3_305	PF01200.19,1.4e-31,105.1
Nitrosotalea_sinensis_Nd2-contig3_385	PF01015.19,6.9e-64,211.8
Nitrosotalea_sinensis_Nd2-contig3_563	PF04919.13,1.7e-53,178.1
Nitrosotalea_sinensis_Nd2-contig3_635	PF00827.18,2.6e-49,164.3
Nitrosotalea_sinensis_Nd2-contig4_266	PF00410.20,1.4e-23,80.0
Nitrosotalea_sinensis_Nd2-contig4_268	PF00900.21,2.1e-17,59.6
