Gene Id	Top hits (Family id,e-value,bitscore)
Aigarchaeota_archaeon_NZ13_MG1-contig10_19	PF04919.13,6.7e-53,175.9
Aigarchaeota_archaeon_NZ13_MG1-contig11_11	PF01200.19,3.1e-30,100.6
Aigarchaeota_archaeon_NZ13_MG1-contig11_29	PF00380.20,1.6e-28,96.3
Aigarchaeota_archaeon_NZ13_MG1-contig11_32	PF01000.27,5.9e-23,78.1
Aigarchaeota_archaeon_NZ13_MG1-contig18_6	PF01015.19,6.9e-56,185.5
Aigarchaeota_archaeon_NZ13_MG1-contig1_172	PF00687.22,8.2e-45,149.7
Aigarchaeota_archaeon_NZ13_MG1-contig1_81	PF00827.18,4e-53,176.6
Aigarchaeota_archaeon_NZ13_MG1-contig25_1	PF00466.21,7.2e-21,70.9
Aigarchaeota_archaeon_NZ13_MG1-contig2_57	PF01025.20,2.7e-44,147.4
Aigarchaeota_archaeon_NZ13_MG1-contig31_9	PF01090.20,2.6e-56,185.8
Aigarchaeota_archaeon_NZ13_MG1-contig6_12	PF07541.13,2.2e-16,56.6
Aigarchaeota_archaeon_NZ13_MG1-contig7_17	PF00900.21,7.8e-20,67.2
Aigarchaeota_archaeon_NZ13_MG1-contig7_20	PF00410.20,1.5e-25,86.2
Aigarchaeota_archaeon_NZ13_MG1-contig7_23	PF01280.21,3.2e-43,143.8
