Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosopumilus_adriaticus_strain_NF5-contig1_1643	TIGR00037,5.6e-35,117.0
Nitrosopumilus_adriaticus_strain_NF5-contig1_1770	TIGR00064,4.7e-90,298.6
Nitrosopumilus_adriaticus_strain_NF5-contig1_2159	TIGR00111,3e-52,175.0
Nitrosopumilus_adriaticus_strain_NF5-contig1_2169	TIGR00134,1.2e-198,658.2
Nitrosopumilus_adriaticus_strain_NF5-contig1_780	TIGR00194,2.7e-148,492.1
Nitrosopumilus_adriaticus_strain_NF5-contig1_1712	TIGR00279,1.2e-43,145.7
Nitrosopumilus_adriaticus_strain_NF5-contig1_1731	TIGR00291,8.5e-67,221.9
Nitrosopumilus_adriaticus_strain_NF5-contig1_1997	TIGR00323,3.4e-54,180.4
Nitrosopumilus_adriaticus_strain_NF5-contig1_2205	TIGR00335,1.5e-35,120.1
Nitrosopumilus_adriaticus_strain_NF5-contig1_1072	TIGR00337,3.4e-228,755.4
Nitrosopumilus_adriaticus_strain_NF5-contig1_1862	TIGR00344,3.5e-160,532.0
Nitrosopumilus_adriaticus_strain_NF5-contig1_278	TIGR00373,3.1e-32,108.3
Nitrosopumilus_adriaticus_strain_NF5-contig1_760	TIGR00392,1.2e-209,695.5
Nitrosopumilus_adriaticus_strain_NF5-contig1_975	TIGR00398,1e-155,516.4
Nitrosopumilus_adriaticus_strain_NF5-contig1_1780	TIGR00405,2.1e-37,125.3
Nitrosopumilus_adriaticus_strain_NF5-contig1_382	TIGR00414,3.2e-167,553.7
Nitrosopumilus_adriaticus_strain_NF5-contig1_1760	TIGR00431,2.6e-35,119.0
Nitrosopumilus_adriaticus_strain_NF5-contig1_970	TIGR00435,3.9e-155,514.4
Nitrosopumilus_adriaticus_strain_NF5-contig1_1998	TIGR00442,1e-100,334.5
Nitrosopumilus_adriaticus_strain_NF5-contig1_700	TIGR00448,9.1e-55,182.0
Nitrosopumilus_adriaticus_strain_NF5-contig1_1452	TIGR00456,1.1e-115,384.1
Nitrosopumilus_adriaticus_strain_NF5-contig1_407	TIGR00468,1.9e-103,343.1
Nitrosopumilus_adriaticus_strain_NF5-contig1_889	TIGR00483,7.1e-196,647.6
Nitrosopumilus_adriaticus_strain_NF5-contig1_2020	TIGR00491,5e-205,679.3
Nitrosopumilus_adriaticus_strain_NF5-contig1_650	TIGR00522,1.4e-53,178.8
Nitrosopumilus_adriaticus_strain_NF5-contig1_778	TIGR00631,4e-287,950.8
Nitrosopumilus_adriaticus_strain_NF5-contig1_495	TIGR00755,1.3e-51,172.4
Nitrosopumilus_adriaticus_strain_NF5-contig1_424	TIGR00928,4.5e-128,424.6
Nitrosopumilus_adriaticus_strain_NF5-contig1_1764	TIGR00967,4.5e-80,266.5
Nitrosopumilus_adriaticus_strain_NF5-contig1_1880	TIGR00982,7e-67,220.4
Nitrosopumilus_adriaticus_strain_NF5-contig1_1254	TIGR01008,4.2e-59,196.5
Nitrosopumilus_adriaticus_strain_NF5-contig1_1919	TIGR01012,1.3e-67,224.1
Nitrosopumilus_adriaticus_strain_NF5-contig1_1909	TIGR01018,7.5e-48,159.5
Nitrosopumilus_adriaticus_strain_NF5-contig1_1767	TIGR01020,1.4e-73,243.8
Nitrosopumilus_adriaticus_strain_NF5-contig1_1879	TIGR01028,1e-64,214.6
Nitrosopumilus_adriaticus_strain_NF5-contig1_890	TIGR01046,3.5e-39,130.2
Nitrosopumilus_adriaticus_strain_NF5-contig1_468	TIGR01052,5.8e-137,454.0
Nitrosopumilus_adriaticus_strain_NF5-contig1_1640	TIGR01213,2.1e-55,185.0
Nitrosopumilus_adriaticus_strain_NF5-contig1_322	TIGR01302,1.8e-163,541.5
Nitrosopumilus_adriaticus_strain_NF5-contig1_1881	TIGR01952,2.7e-45,151.1
Nitrosopumilus_adriaticus_strain_NF5-contig1_490	TIGR02236,2.1e-120,398.7
Nitrosopumilus_adriaticus_strain_NF5-contig1_1725	TIGR02338,1.5e-29,99.2
Nitrosopumilus_adriaticus_strain_NF5-contig1_2173	TIGR02350,1.2e-253,839.8
Nitrosopumilus_adriaticus_strain_NF5-contig1_1887	TIGR02390,0.0,1223.1
Nitrosopumilus_adriaticus_strain_NF5-contig1_1249	TIGR03626,1.9e-104,346.1
Nitrosopumilus_adriaticus_strain_NF5-contig1_433	TIGR03628,1.9e-56,186.6
Nitrosopumilus_adriaticus_strain_NF5-contig1_1888	TIGR03670,8.7e-265,876.5
Nitrosopumilus_adriaticus_strain_NF5-contig1_86	TIGR03671,9.8e-104,344.3
Nitrosopumilus_adriaticus_strain_NF5-contig1_1250	TIGR03672,7.4e-80,265.0
Nitrosopumilus_adriaticus_strain_NF5-contig1_1426	TIGR03674,2.4e-127,421.6
Nitrosopumilus_adriaticus_strain_NF5-contig1_1154	TIGR03676,1.2e-126,419.7
Nitrosopumilus_adriaticus_strain_NF5-contig1_2199	TIGR03680,7.9e-177,585.4
