Gene Id	Top hits (Family id,e-value,bitscore)
Thaumarchaeota_archaeon_SAT139_contig11_65	PF00466.21,4.7e-19,64.4
Thaumarchaeota_archaeon_SAT139_contig11_66	PF00687.22,6.9e-41,136.1
Thaumarchaeota_archaeon_SAT139_contig11_97	PF01280.21,3.2e-34,114.0
Thaumarchaeota_archaeon_SAT139_contig12_14	PF01015.19,1.3e-50,167.5
Thaumarchaeota_archaeon_SAT139_contig13_21	PF00380.20,6.4e-33,109.8
Thaumarchaeota_archaeon_SAT139_contig13_24	PF01000.27,9.2e-24,79.9
Thaumarchaeota_archaeon_SAT139_contig13_4	PF01200.19,4.1e-31,102.7
Thaumarchaeota_archaeon_SAT139_contig14_6	PF07541.13,1.4e-17,59.7
Thaumarchaeota_archaeon_SAT139_contig6_16	PF01090.20,9.9e-48,157.2
Thaumarchaeota_archaeon_SAT139_contig6_61	PF04919.13,3.1e-43,143.8
Thaumarchaeota_archaeon_SAT139_contig6_98	PF01025.20,4.3e-30,100.5
