Gene Id	Top hits (Family id,e-value,bitscore)
Saccharolobus_solfataricus_P2-contig1_1044	PF07541.13,1.4e-24,84.0
Saccharolobus_solfataricus_P2-contig1_227	PF01200.19,7e-33,110.0
Saccharolobus_solfataricus_P2-contig1_335	PF00466.21,2.4e-26,89.4
Saccharolobus_solfataricus_P2-contig1_336	PF00687.22,5.2e-35,118.6
Saccharolobus_solfataricus_P2-contig1_347	PF01090.20,2.4e-51,170.6
Saccharolobus_solfataricus_P2-contig1_699	PF01280.21,9.1e-45,149.8
Saccharolobus_solfataricus_P2-contig1_702	PF00410.20,5e-26,88.7
Saccharolobus_solfataricus_P2-contig1_705	PF00900.21,4.7e-23,78.5
Saccharolobus_solfataricus_P2-contig1_71	PF00380.20,6e-28,95.4
Saccharolobus_solfataricus_P2-contig1_738	PF00827.18,1.2e-74,247.7
Saccharolobus_solfataricus_P2-contig1_74	PF01000.27,2.4e-30,102.8
Saccharolobus_solfataricus_P2-contig1_741	PF01015.19,1.4e-71,237.7
Saccharolobus_solfataricus_P2-contig1_745	PF04919.13,1.3e-72,241.1
