Gene Id	Top hits (Family id,e-value,bitscore)
Nitrosopelagicus_brevis_U25-contig10_25	PF01200.19,3.3e-27,90.6
Nitrosopelagicus_brevis_U25-contig19_3	PF01090.20,1.3e-48,160.5
Nitrosopelagicus_brevis_U25-contig1_126	PF00410.20,1.1e-23,79.9
Nitrosopelagicus_brevis_U25-contig1_129	PF00900.21,1.2e-16,56.7
Nitrosopelagicus_brevis_U25-contig2_159	PF01015.19,4.4e-62,205.4
Nitrosopelagicus_brevis_U25-contig2_51	PF01000.27,3.5e-23,78.5
Nitrosopelagicus_brevis_U25-contig2_54	PF00380.20,1.2e-32,109.4
Nitrosopelagicus_brevis_U25-contig37_4	PF00827.18,1.6e-45,151.5
Nitrosopelagicus_brevis_U25-contig4_33	PF04919.13,3.3e-45,150.6
Nitrosopelagicus_brevis_U25-contig5_28	PF07541.13,1.8e-16,56.6
Nitrosopelagicus_brevis_U25-contig5_9	PF01025.20,1.4e-36,122.0
Nitrosopelagicus_brevis_U25-contig6_18	PF01280.21,4.8e-41,136.5
Nitrosopelagicus_brevis_U25-contig6_24	PF00687.22,1.8e-42,141.7
Nitrosopelagicus_brevis_U25-contig6_25	PF00466.21,1.7e-19,66.2
