Gene Id	Top hits (Family id,e-value,bitscore)
Caldivirga_maquilingensis_IC_167-contig1_918	TIGR00037,4.2e-35,117.3
Caldivirga_maquilingensis_IC_167-contig1_892	TIGR00064,5.6e-89,294.9
Caldivirga_maquilingensis_IC_167-contig1_1931	TIGR00111,4.5e-38,128.3
Caldivirga_maquilingensis_IC_167-contig1_1614	TIGR00134,1.2e-180,598.6
Caldivirga_maquilingensis_IC_167-contig1_997	TIGR00279,8.5e-51,168.9
Caldivirga_maquilingensis_IC_167-contig1_203	TIGR00291,4.2e-63,209.7
Caldivirga_maquilingensis_IC_167-contig1_204	TIGR00323,1.3e-60,201.3
Caldivirga_maquilingensis_IC_167-contig1_1421	TIGR00335,3.5e-50,168.1
Caldivirga_maquilingensis_IC_167-contig1_343	TIGR00337,1.9e-218,723.2
Caldivirga_maquilingensis_IC_167-contig1_1971	TIGR00344,7.6e-191,633.3
Caldivirga_maquilingensis_IC_167-contig1_1236	TIGR00392,2.5e-245,813.5
Caldivirga_maquilingensis_IC_167-contig1_138	TIGR00398,1.8e-148,492.4
Caldivirga_maquilingensis_IC_167-contig1_979	TIGR00405,2.4e-20,69.9
Caldivirga_maquilingensis_IC_167-contig1_908	TIGR00414,8.7e-124,410.5
Caldivirga_maquilingensis_IC_167-contig1_157	TIGR00431,5.1e-35,117.9
Caldivirga_maquilingensis_IC_167-contig1_845	TIGR00435,2.7e-137,455.5
Caldivirga_maquilingensis_IC_167-contig1_673	TIGR00442,1.3e-111,370.3
Caldivirga_maquilingensis_IC_167-contig1_1171	TIGR00448,1.1e-50,168.6
Caldivirga_maquilingensis_IC_167-contig1_1048	TIGR00456,7.2e-107,354.9
Caldivirga_maquilingensis_IC_167-contig1_620	TIGR00468,5.3e-87,288.9
Caldivirga_maquilingensis_IC_167-contig1_1806	TIGR00483,1.2e-189,627.0
Caldivirga_maquilingensis_IC_167-contig1_467	TIGR00491,5.7e-217,718.7
Caldivirga_maquilingensis_IC_167-contig1_2065	TIGR00522,2e-45,152.1
Caldivirga_maquilingensis_IC_167-contig1_1376	TIGR00755,8.8e-55,182.6
Caldivirga_maquilingensis_IC_167-contig1_332	TIGR00982,4.6e-66,217.7
Caldivirga_maquilingensis_IC_167-contig1_932	TIGR01008,9.1e-53,175.8
Caldivirga_maquilingensis_IC_167-contig1_2077	TIGR01012,4.5e-72,238.6
Caldivirga_maquilingensis_IC_167-contig1_1139	TIGR01018,6.3e-55,182.4
Caldivirga_maquilingensis_IC_167-contig1_723	TIGR01020,6.5e-93,306.9
Caldivirga_maquilingensis_IC_167-contig1_2003	TIGR01028,7.6e-78,257.3
Caldivirga_maquilingensis_IC_167-contig1_98	TIGR01046,1.6e-40,134.4
Caldivirga_maquilingensis_IC_167-contig1_1259	TIGR01052,4e-145,480.8
Caldivirga_maquilingensis_IC_167-contig1_981	TIGR01213,2.8e-76,253.6
Caldivirga_maquilingensis_IC_167-contig1_1684	TIGR01302,3.3e-104,346.1
Caldivirga_maquilingensis_IC_167-contig1_331	TIGR01952,1.7e-42,141.9
Caldivirga_maquilingensis_IC_167-contig1_1154	TIGR02236,1e-144,478.5
Caldivirga_maquilingensis_IC_167-contig1_351	TIGR02338,5.9e-34,113.3
Caldivirga_maquilingensis_IC_167-contig1_189	TIGR02389,1.9e-150,497.8
Caldivirga_maquilingensis_IC_167-contig1_188	TIGR02390,0.0,1315.9
Caldivirga_maquilingensis_IC_167-contig1_327	TIGR03626,1.2e-122,405.8
Caldivirga_maquilingensis_IC_167-contig1_1627	TIGR03627,4.8e-56,185.5
Caldivirga_maquilingensis_IC_167-contig1_1704	TIGR03628,2.5e-60,199.0
Caldivirga_maquilingensis_IC_167-contig1_513	TIGR03629,4.5e-56,186.0
Caldivirga_maquilingensis_IC_167-contig1_459	TIGR03670,3.9e-286,946.9
Caldivirga_maquilingensis_IC_167-contig1_1028	TIGR03671,6.4e-128,423.9
Caldivirga_maquilingensis_IC_167-contig1_326	TIGR03672,2.7e-106,351.5
Caldivirga_maquilingensis_IC_167-contig1_1372	TIGR03673,3.4e-61,201.8
Caldivirga_maquilingensis_IC_167-contig1_41	TIGR03674,6.3e-146,482.6
Caldivirga_maquilingensis_IC_167-contig1_273	TIGR03676,2.6e-120,398.8
